srcIata,dstIata, flights ,stage, duration 
TAO,CAN,13,983,2
MAD,BCN,13,301,1
BWI,MCO,13,787,2
SIN,PVG,13,2357,5
PVG,SIN,13,2357,5
ARK,LKY,13,56,1
OKA,NGO,13,808,2
NGO,OKA,13,808,2
MCO,BWI,13,787,2
ORY,MAD,13,640,1
MAD,ORY,13,640,1
CLT,ATL,13,227,1
AUS,DEN,13,775,2
ATL,CLT,13,227,1
YVR,YLW,13,179,1
YLW,YVR,13,179,1
HBA,MEL,13,384,1
MEL,HBA,13,384,1
MUC,LHR,13,586,1
LHR,MUC,13,586,1
DEN,AUS,13,775,2
DEL,PAT,13,533,1
PAT,DEL,13,533,1
IND,ORD,13,177,1
ORD,IND,13,177,1
LIS,ORY,13,894,2
ORY,LIS,13,894,2
FUK,NRT,13,585,1
PEK,XMN,13,1079,2
XMN,PEK,13,1079,2
EWR,FLL,13,1065,2
SGN,VCS,13,143,1
DFW,MCO,13,984,2
MCO,CLT,13,468,1
NRT,FUK,13,585,1
CLT,MCO,13,468,1
FLL,EWR,13,1065,2
MCO,DFW,13,984,2
ADD,BJR,13,204,1
DFW,MIA,13,1121,2
VCS,SGN,13,143,1
PHX,SFO,13,651,1
SFO,PHX,13,651,1
TLS,ORY,13,355,1
MEX,MID,13,621,1
ORY,TLS,13,355,1
MIA,DFW,13,1121,2
AUS,DFW,13,190,1
CTU,PVG,13,1060,2
DFW,AUS,13,190,1
MID,MEX,13,621,1
HAM,MUC,13,373,1
MUC,HAM,13,373,1
PVG,CTU,13,1060,2
SCL,PMC,13,569,1
SHA,TFU,13,1006,2
CAN,TNA,13,956,2
PMC,SCL,13,569,1
CTS,NGO,13,607,1
NGO,CTS,13,607,1
KKJ,HND,13,516,1
HND,KKJ,13,516,1
PVG,XIY,13,792,2
SAW,ESB,13,201,1
ZYL,DAC,13,120,1
BJR,ADD,13,204,1
CMH,ORD,13,296,1
ORD,CMH,13,296,1
TNA,CAN,13,956,2
ESB,SAW,13,201,1
LHR,MAD,13,774,2
MAD,LHR,13,774,2
CSX,PEK,13,841,2
PEK,CSX,13,841,2
HND,TAK,13,335,1
TAK,HND,13,335,1
HYD,MAA,13,314,1
MAA,HYD,13,314,1
MNL,PPS,13,362,1
PPS,MNL,13,362,1
FUK,KMI,13,131,1
KMI,FUK,13,131,1
ORD,CLE,13,316,1
CLE,ORD,13,316,1
ORD,MKE,13,67,1
ACC,KMS,13,124,1
KMS,ACC,13,124,1
MKE,ORD,13,67,1
IST,IKA,13,1278,3
URC,CGO,13,1547,3
IKA,IST,13,1278,3
CGO,URC,13,1547,3
CDG,LHR,13,216,1
FRA,VIE,13,386,1
LHR,CDG,13,216,1
VIE,FRA,13,386,1
GRU,AEP,13,1052,2
CTU,PKX,13,935,2
PKX,CTU,13,935,2
AMS,DUB,13,467,1
DUB,AMS,13,467,1
KMG,TFU,13,369,1
TFU,KMG,13,369,1
BOS,MCO,13,1121,2
ICN,TPE,13,906,2
MCO,BOS,13,1121,2
TPE,ICN,13,906,2
AEP,GRU,13,1052,2
DUB,MAN,13,164,1
MAN,DUB,13,164,1
GAU,DEL,13,906,2
DEL,GAU,13,906,2
MNL,TAC,13,351,1
TAC,MNL,13,351,1
XIY,PVG,13,792,2
SEA,SMF,13,605,1
SMF,SEA,13,605,1
DXB,DEL,13,1359,3
DEL,DXB,13,1359,3
MCO,DCA,13,759,2
DCA,MCO,13,759,2
LGA,DCA,13,214,1
DCA,LGA,13,214,1
SJU,SBH,13,211,1
ORD,STL,13,258,1
LAX,PDX,13,834,2
STL,ORD,13,258,1
PDX,LAX,13,834,2
BCN,LIS,13,619,1
LIS,BCN,13,619,1
TFU,SZX,13,783,2
DEN,MCO,13,1545,3
RDU,ATL,13,356,1
VVI,CBB,13,201,1
ATL,RDU,13,356,1
MCO,DEN,13,1545,3
DGA,BZE,13,38,1
PTY,BOG,13,468,1
BOG,PTY,13,468,1
BOM,GOI,13,263,1
CAN,NGB,13,671,1
GOI,BOM,13,263,1
